"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"621",115794.717011305,262924.119099724,230827.88970545,22.3615147778678,23.8133602319997,23.2570143122479
"622",122897.56571035,308303.921910477,282309.700416737,20.945380205176,22.5029196414748,21.9185677900278
"623",114640.72111129,298983.091307969,295349.162935006,21.0519917209479,22.6885418436982,21.3788877922808
"624",119703.875975066,310400.612804374,286733.303880021,19.7743567870196,21.8531909737823,20.7137137223224
"625",122647.232716416,329842.42434879,290121.802594578,19.7134056961435,21.9785706694727,20.505645948218
"626",107161.450443885,280595.839417626,238326.663853576,20.9686421138784,22.6933201732185,21.9955963599942
"627",110846.502119774,303259.133055696,270891.728965488,20.928983285171,22.5358316240936,21.6218624352502
"628",110785.289075764,267723.900276817,242380.497424847,21.6892953515357,23.5272753732991,22.517784099381
"629",106544.145824898,247508.761464149,225082.762263255,22.4374894709988,24.0825214501245,23.0083551788049
"630",101991.322362869,259986.020619316,233843.451724034,21.3580486023501,22.6456729106906,22.3467914571426
"631",102228.835264947,236830.794808037,215724.250401377,22.4779196817554,24.0153573602535,23.2975938715477
"632",113401.016126808,279534.749607073,272515.328567999,20.7516800750789,22.5557129207128,21.5572818869759
"633",117321.334680251,277965.156360151,264354.004559274,20.3512533520901,22.2694180105973,21.0010654918292
"634",117174.924773228,313944.852540811,290619.018672013,20.0257793659282,21.7136943046691,20.8295388241292
"635",123093.691401226,327745.48319957,310202.334708244,20.1766913439363,22.0836412487178,20.640995589119
"636",112953.539361085,268896.750370525,237387.022276904,21.296457544262,22.9367508497676,22.2535086665714
"637",104166.333408134,269569.378657152,228800.451238213,21.8694685176814,23.4863148675903,22.678724859474
"638",110900.945646111,273519.266395699,257568.130788251,20.8439148132802,22.6161091904841,21.8729133664133
"639",99992.4890550933,266825.527375332,238110.258737043,21.6567317979057,23.1141524817965,22.30480279886
"640",104239.771016941,284435.579607795,250297.368973454,21.9142444774251,23.3062577178473,22.6658972551256
"641",99227.8635893714,232445.963677422,204361.544336848,21.9283196348875,23.6289332159536,22.7712924612265
"642",117803.66587752,296145.694924142,272405.189426153,21.1180797674976,23.0528578642203,21.7345076281571
"643",129613.001889559,331520.604127797,328280.535176395,19.3259588867094,21.3429526336926,20.0415293148792
"644",118520.385092733,290647.808804357,257405.808364032,20.8995546910944,22.6576090521283,21.9320760239603
"645",119484.869916082,267892.190879745,234332.161599833,21.5921107645677,23.3224987728161,22.559388322221
"646",129761.993087405,297516.67267002,255694.685057044,21.2457908330236,22.9660056341503,22.1184896628134
"647",106513.636300804,267163.907008181,242778.294766068,21.6022898816495,23.2160318589088,22.4155214675688
"648",115651.046004823,309251.147725965,283967.555311182,20.3527782080973,22.2421884240644,21.1265708263207
"649",117310.990619861,292861.246032337,256872.512830428,21.4674021642116,23.1805318793578,22.2760224221373
"650",112756.05723363,280791.438713918,263528.082882539,20.6954709554421,22.3776243849624,21.6072390098588
"651",107768.120400282,258492.616707391,239527.564045561,21.7235167668308,23.2713659030335,22.36362965998
"652",107443.851854816,275748.613627496,264859.691645889,21.4441162457097,22.820840609167,21.9402703519168
"653",123949.671287323,348618.997504727,303892.789975985,20.3843103527872,22.0505490854582,21.2539793064234
"654",100783.268676297,246195.432473844,219687.824171454,21.9746004256505,23.3837615502718,22.832868162925
"655",117935.917781795,271472.530179707,226388.323020248,22.2396591208575,23.8301535112438,23.1362011118331
"656",110385.929022821,257720.434775132,230763.733949821,21.9229743248402,23.8213468307216,22.6704520357179
"657",118547.909127698,303456.00817556,281193.936023989,20.5555888505108,22.2183544990853,21.5289194222388
"658",122026.447463835,327695.035486724,319251.732202715,19.7876752728837,21.4495816641503,20.4886885330897
"659",119834.563040592,292570.665920294,278049.786884446,21.2536940178141,22.8663748547628,21.7323450921792
"660",106320.814820141,263310.101932801,234248.271616739,21.4134858752753,23.0552464628628,22.2994374591081
"661",103487.510443427,275634.672377418,247616.890730921,20.8646493957321,22.5231730202555,21.8681866106776
"662",98009.2075239849,205785.920492873,186508.728425168,23.6125662607822,24.7694634282077,24.2699690768539
"663",108817.632587561,271238.738914542,256468.30257302,20.9832763493807,22.6176999144069,21.7669050530884
"664",115728.167759396,287156.235687835,259929.407276302,20.5242901747881,22.4038866791863,21.4140610728301
"665",110764.37818312,282800.590773925,266695.566909873,20.7140226277745,22.5099704908846,21.5478727616503
"666",118282.831315967,292845.275689987,273650.809467134,20.9861685886924,22.8971087860791,21.609837910144
